title,episodes,country,premiere_year,final_year,seasons,Original Channel,technique,final_year_filled,run_years,title_clean,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,year_diff,rating_norm,seasons_norm,votes_norm,success_score,is_successful,toy_products,avg_stars,total_reviews,bought_last_month,match_reliable,has_merch,imdb_norm,merch_norm,reviews_norm,franchise_score,is_franchise,netflix_popularity,netflix_vote_avg,netflix_vote_count,netflix_duration,on_netflix,is_franchise_final,theme,yt_has_content,yt_top10_total_views,yt_top10_avg_views,yt_video_count,years_since_premiere,log_votes_per_year,genre_animation,genre_family,genre_comedy,genre_adventure,genre_action,on_streaming,netflix_pop_filled,log_yt_views,title_has_high_animal,title_has_hero_keyword,title_word_count,title_has_character,country_grouped_Australia,country_grouped_Brazil,country_grouped_Canada,country_grouped_Coproduction,country_grouped_France,country_grouped_Germany,country_grouped_Other,country_grouped_South Korea,country_grouped_Spain,country_grouped_United Kingdom,country_grouped_United States,technique_grouped_CGI,technique_grouped_Flash,technique_grouped_Flash/Traditional,technique_grouped_Other,technique_grouped_Stop Motion,technique_grouped_Stop-motion,technique_grouped_Toon Boom Harmony,technique_grouped_Traditional,technique_grouped_Traditional/Flash,era_Golden Age (85-96),era_Modern (97-09),era_Streaming Era (2010+),dash_prob
The Real Adventures of Jonny Quest,52,United States,1996.0,1997.0,2.0,Cartoon Network,Traditional,1997.0,1.0,the real adventures of jonny quest,tt0115226,tvSeries,The Real Adventures of Jonny Quest,The Real Adventures of Jonny Quest,0.0,1996.0,1997.0,21.0,"Action,Adventure,Animation",7.7,2949.0,0.0,0.7974683544303797,0.03125,0.004238521691258,0.3309844721949664,1,0.0,,,0.0,,0,0.7974683544303797,0.0,0.0,0.1594936708860759,1,0.0,,,,0,0,,1,9402242,940224,10,28.0,0.28534144461906663,1,0,0,1,1,0,0.0,16.056458835796995,0,0,6,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.13287048
100% Wolf: Legend of the Moonstone,26,Australia,2020.0,,2.0,ABC Me,CGI,2023.0,3.0,100% wolf: legend of the moonstone,tt13814356,tvSeries,100% Wolf: Legend of the Moonstone,100% Wolf: Legend of the Moonstone,0.0,2020.0,2021.0,22.0,"Action,Adventure,Animation",5.3,222.0,0.0,0.4936708860759493,0.03125,0.0003084133430565,0.2084829577661438,0,0.0,,,0.0,,0,0.4936708860759493,0.0,0.0,0.0987341772151898,0,0.0,,,,0,0,wolf,1,7684072,768407,10,4.0,1.3517929428650297,1,0,0,1,1,0,0.0,15.854660303085739,0,0,6,1,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.24035162
The Savage Dragon,26,Coproduction,1995.0,1996.0,2.0,USA Network,Traditional,1996.0,1.0,the savage dragon,tt0236923,tvSeries,The Savage Dragon,The Savage Dragon,0.0,1995.0,1996.0,22.0,"Action,Adventure,Animation",6.5,215.0,0.0,0.6455696202531644,0.03125,0.0002983250561341,0.2692399293652993,0,0.0,,,0.0,,0,0.6455696202531644,0.0,0.0,0.1291139240506329,0,0.0,,,,0,0,dragon,1,1037957,103795,10,29.0,0.18535442785117812,1,0,0,1,1,0,0.0,13.852765879461598,0,0,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,0.37822336
101 Dalmatians: The Series,65,United States,1997.0,1998.0,2.0,"ABC, Syndication",Traditional,1998.0,1.0,101 dalmatians: the series,tt0144700,tvSeries,101 Dalmatians: The Series,101 Dalmatians: The Series,0.0,1997.0,1998.0,30.0,"Adventure,Animation,Comedy",6.1,2228.0,0.0,0.5949367088607593,0.03125,0.0031994281382498,0.2497120405788662,0,0.0,,,0.0,,0,0.5949367088607593,0.0,0.0,0.1189873417721518,0,0.0,,,,0,0,,1,61552917,6155291,10,27.0,0.2855299382735507,1,0,1,1,0,0,0.0,17.93540781808187,0,0,4,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.08323314
2 Stupid Dogs,26,United States,1993.0,1995.0,2.0,"TBS, Syndication",Traditional,1995.0,2.0,2 stupid dogs,tt0105928,tvSeries,2 Stupid Dogs,2 Stupid Dogs,0.0,1993.0,1995.0,22.0,"Animation,Comedy,Family",7.1,4926.0,0.0,0.721518987341772,0.03125,0.0070877421549157,0.3013170304754377,0,0.0,,,0.0,,0,0.721518987341772,0.0,0.0,0.1443037974683544,0,0.0,,,,0,0,,1,7699442,769944,10,31.0,0.27427372782399884,1,1,1,0,0,0,0.0,15.856658546545079,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.19157049
Nerds and Monsters,40,Canada,2014.0,2016.0,2.0,YTV,Flash,2016.0,2.0,nerds and monsters,tt2587744,tvSeries,Nerds and Monsters,Nerds and Monsters,0.0,2013.0,,30.0,"Adventure,Animation,Comedy",4.8,114.0,1.0,0.430379746835443,0.03125,0.0001527654876822,0.1831275901060977,0,0.0,,,0.0,,0,0.430379746835443,0.0,0.0,0.0860759493670886,0,0.0,,,,0,0,,1,1625496,162549,10,10.0,0.474493212836325,1,0,1,1,0,0,0.0,14.30132417313842,0,0,3,1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.041371178
Lupo Alberto,104,Italy,1997.0,2002.0,2.0,"Rai 1, Rai 2, Rai 3, Rai Gulp",Traditional,2002.0,5.0,lupo alberto,tt0344680,tvSeries,Lupo Alberto,Lupo Alberto,0.0,1998.0,,30.0,"Animation,Comedy",6.7,75.0,1.0,0.670886075949367,0.03125,9.655931768591992e-05,0.2793160702091682,0,0.0,,,0.0,,0,0.670886075949367,0.0,0.0,0.1341772151898734,0,0.0,,,,0,0,,1,148880865,14888086,10,27.0,0.16039753112171595,1,0,1,0,0,0,0.0,18.81865698704653,0,0,2,1,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.043728333
Valt the Wonder Deer,104,Coproduction,2016.0,,2.0,Tencent Video,Flash,2023.0,7.0,valt the wonder deer,tt6436772,tvSeries,Valt the Wonder Deer,Valt the Wonder Deer,0.0,2017.0,2023.0,13.0,Animation,8.3,44.0,1.0,0.8734177215189872,0.03125,5.188261845810624e-05,0.3603175592622094,1,0.0,,,0.0,,0,0.8734177215189872,0.0,0.0,0.1746835443037974,1,0.0,,,,0,0,,1,336297,33629,10,8.0,0.47583281122128995,1,0,0,0,0,0,0.0,12.72575295063961,0,0,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.016490595
The Cramp Twins,53,Coproduction,2002.0,2006.0,2.0,"FoxBox/4Kids TV, Cartoon Network",Traditional,2006.0,4.0,the cramp twins,tt0299278,tvSeries,The Cramp Twins,The Cramp Twins,0.0,2001.0,2005.0,30.0,"Animation,Comedy,Family",6.1,3748.0,1.0,0.5949367088607593,0.03125,0.0053900275842588,0.2502596904403684,0,0.0,,,0.0,,0,0.5949367088607593,0.0,0.0,0.1189873417721518,0,0.0,,,,0,0,,1,5593996,559399,10,22.0,0.37405656439708695,1,1,1,0,0,0,0.0,15.537204616455018,0,0,3,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.13430181
Little Ellen,20,United States,2021.0,,2.0,Cartoonito / HBO Max,Flash,2023.0,2.0,little ellen,tt10473710,tvSeries,Little Ellen,Little Ellen,0.0,2021.0,2022.0,11.0,"Adventure,Animation,Comedy",1.8,582.0,0.0,0.050632911392405,0.03125,0.0008272395276375,0.0313974744388714,0,0.0,,,0.0,,0,0.050632911392405,0.0,0.0,0.010126582278481,0,0.0,,,,0,0,,1,2661271,266127,10,3.0,2.122729062116831,1,0,1,1,0,0,0.0,14.794314761947577,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.28209552
Llama Llama,25,United States,2018.0,2019.0,2.0,Netflix,Flash,2019.0,1.0,llama llama,tt4781350,tvSeries,Llama Llama,Llama Llama,0.0,2018.0,2019.0,24.0,"Adventure,Animation,Family",6.4,340.0,0.0,0.6329113924050632,0.03125,0.0004784730368914,0.2642216752212481,0,4.0,3.47,0.0,500.0,True,1,0.6329113924050632,0.0102986611740473,0.0,0.1322465421267387,0,70.236,6.5,8.0,1 Seasons,1,1,,1,550391157,55039115,10,6.0,0.9719804128805861,1,1,0,1,0,1,70.236,20.12613977977414,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.91757756
LoliRock,52,France,2014.0,2014.0,2.0,France 4,Flash/Traditional,2014.0,0.0,lolirock,tt4506998,tvSeries,LoliRock,LoliRock,0.0,2014.0,2023.0,22.0,"Action,Adventure,Animation",7.6,901.0,0.0,0.7848101265822783,0.03125,0.0012869771745302,0.3251832949265439,1,0.0,,,0.0,,0,0.7848101265822783,0.0,0.0,0.1569620253164556,0,38.25,8.789,38.0,1 Seasons,1,0,,1,157823759,15782375,10,10.0,0.6804614520062624,1,0,0,1,1,1,38.25,18.876989525383678,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.0046251127
Wunschpunsch,52,Coproduction,2000.0,2002.0,2.0,TF1,Traditional,2002.0,2.0,wunschpunsch,tt0362384,tvSeries,Wunschpunsch,Wunschpunsch,0.0,2000.0,2002.0,30.0,"Adventure,Animation,Comedy",7.4,1497.0,0.0,0.7594936708860759,0.03125,0.0021459227467811,0.3152714490411256,0,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0,0,,1,5800899,580089,10,24.0,0.3046619235032152,1,0,1,1,0,0,0.0,15.573523635892448,0,0,1,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0034199334
X-DuckX,78,France,2001.0,2006.0,2.0,France 3,Traditional,2006.0,5.0,x-duckx,tt0482151,tvSeries,X-DuckX,X-DuckX,0.0,2001.0,2006.0,7.0,"Action,Animation",6.4,109.0,0.0,0.6329113924050632,0.03125,0.0001455595684519,0.2641384468541382,0,0.0,,,0.0,,0,0.6329113924050632,0.0,0.0,0.1265822784810126,0,0.0,,,,0,0,,1,968382,96838,10,23.0,0.20436871155619202,1,0,0,0,1,0,0.0,13.783382949162505,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0050422386
Franklin and Friends,25,Canada,2011.0,2013.0,2.0,"Treehouse TV (Canada), Mediacorp (Singapore), Discovery Kids (Latin American)",CGI,2013.0,2.0,franklin and friends,tt2125149,tvSeries,Franklin and Friends,Franklin and Friends,0.0,2011.0,2016.0,23.0,"Animation,Drama,Family",5.0,187.0,0.0,0.4556962025316455,0.03125,0.0002579719084444,0.1932804739897693,0,0.0,,,0.0,,0,0.4556962025316455,0.0,0.0,0.0911392405063291,0,39.61,3.6,6.0,1 Seasons,1,0,,1,315994948,31599494,10,13.0,0.4028032279099961,1,1,0,0,0,1,39.61,19.57123678724622,0,0,3,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.12965286
Freakazoid!,24,United States,1995.0,1997.0,2.0,Kids' WB,Traditional,1997.0,2.0,freakazoid!,tt0111970,tvSeries,Freakazoid!,Freakazoid!,0.0,1995.0,1997.0,30.0,"Action,Adventure,Animation",7.5,9110.0,0.0,0.7721518987341771,0.03125,0.0131176553668245,0.323077673335377,1,0.0,,,0.0,,0,0.7721518987341771,0.0,0.0,0.1544303797468354,0,0.0,,,,0,0,,1,36621355,3662135,10,29.0,0.31438750874875376,1,0,0,1,1,0,0.0,17.416142125471016,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.004296243
The Misfortune of Being Ned,20,United States,2013.0,2014.0,2.0,YouTube,Flash,2014.0,1.0,the misfortune of being ned,tt10627608,tvSeries,The Misfortune of Being Ned,The Misfortune of Being Ned,0.0,2013.0,2014.0,1.0,"Animation,Comedy",7.6,14.0,0.0,0.7848101265822783,0.03125,8.647103076351039e-06,0.3248637124086804,1,0.0,,,0.0,,0,0.7848101265822783,0.0,0.0,0.1569620253164556,0,0.0,,,,0,0,,1,10732308,1073230,10,11.0,0.24618638191838274,1,0,1,0,0,0,0.0,16.18876928250973,0,0,5,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.007472478
Let's Go Luna!,43,Coproduction,2018.0,,2.0,"PBS Kids (United States), TVOKids (Canada), Knowledge Kids (Canada), Nat Geo Kids (Latin American)",Flash,2023.0,5.0,let's go luna!,tt7200884,tvSeries,Let's Go Luna!,Let's Go Luna!,0.0,2018.0,2022.0,30.0,"Animation,Comedy,Family",7.5,259.0,0.0,0.7721518987341771,0.03125,0.0003617371453606,0.319888693780011,0,1.0,4.9,0.0,0.0,True,1,0.7721518987341771,0.0,0.0,0.1544303797468354,0,94.457,7.7,3.0,1 Seasons,1,0,,1,5757891,575789,10,6.0,0.9267802718359213,1,1,1,0,0,1,94.457,15.566081993465675,0,0,3,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.068760596
Lilo & Stitch: The Series,65,United States,2003.0,2006.0,2.0,Disney Channel,Traditional,2006.0,3.0,lilo & stitch: the series,tt0364774,tvSeries,Lilo & Stitch: The Series,Lilo & Stitch: The Series,0.0,2003.0,2006.0,22.0,"Action,Adventure,Animation",6.8,13228.0,0.0,0.6835443037974682,0.03125,0.0190524504448934,0.2891183341302106,0,0.0,,,0.0,,0,0.6835443037974682,0.0,0.0,0.1367088607594936,0,0.0,,,,0,0,,1,1236673373,123667337,10,21.0,0.4519126984982086,1,0,0,1,1,0,0.0,20.935690848602615,0,0,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.35326284
Lily's Driftwood Bay,100,Ireland,2014.0,2017.0,2.0,Nick Jr.,Flash,2017.0,3.0,lily's driftwood bay,tt2196584,tvSeries,Lily's Driftwood Bay,Lily's Driftwood Bay,0.0,2014.0,,23.0,"Animation,Family",7.8,93.0,0.0,0.8101265822784809,0.03125,0.0001225006269149,0.3350187580681211,1,0.0,,,0.0,,0,0.8101265822784809,0.0,0.0,0.1620253164556961,1,94.142,7.0,1.0,1 Seasons,1,0,,1,2894355,289435,10,10.0,0.45432947822700037,1,1,0,0,0,1,94.142,14.878273191738687,0,0,3,1,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.05310391
Little Charmers,57,Canada,2015.0,2017.0,2.0,"Treehouse TV, Nick Jr.",CGI,2017.0,2.0,little charmers,tt3523560,tvSeries,Little Charmers,Little Charmers,0.0,2015.0,2018.0,22.0,"Action,Adventure,Animation",5.5,193.0,0.0,0.5189873417721519,0.03125,0.0002666190115208,0.2185990914617409,0,0.0,,,0.0,,0,0.5189873417721519,0.0,0.0,0.1037974683544303,0,0.0,,,,0,0,,1,36724343,3672434,10,9.0,0.5853175732292587,1,0,0,1,1,0,0.0,17.41895041737319,0,0,2,1,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,0.09218167
G.I. Joe Extreme,26,United States,1995.0,1997.0,2.0,Syndication,Traditional,1997.0,2.0,g.i. joe extreme,tt0115183,tvSeries,G.I. Joe Extreme,G.I. Joe Extreme,0.0,1995.0,1997.0,23.0,"Action,Animation",5.1,197.0,0.0,0.4683544303797468,0.03125,0.000272383746905,0.198347368088625,0,0.0,,,0.0,,0,0.4683544303797468,0.0,0.0,0.0936708860759493,0,0.0,,,,0,0,,1,7129752,712975,10,29.0,0.18235403554119087,1,0,0,0,1,0,0.0,15.779787149434178,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.044856686
Yoho Ahoy,39,United Kingdom,2000.0,2001.0,2.0,CBeebies,Traditional,2001.0,1.0,yoho ahoy,tt0290383,tvSeries,Yoho Ahoy,Yoho Ahoy,0.0,2000.0,2001.0,5.0,"Animation,Family",8.3,56.0,0.0,0.8734177215189872,0.03125,6.917682461080831e-05,0.3603218828137476,1,0.0,,,0.0,,0,0.8734177215189872,0.0,0.0,0.1746835443037974,1,0.0,,,,0,0,,1,1600847,160084,10,24.0,0.16846046949310625,1,1,0,0,0,0,0.0,14.286044046809616,0,0,2,1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.009034156
1001 Nights,52,Canada,2011.0,2012.0,2.0,Teletoon,Flash,2012.0,1.0,1001 nights,tt1748326,tvSeries,1001 Nights,1001 Nights,0.0,2010.0,2013.0,11.0,"Animation,Family,Fantasy",7.8,106.0,1.0,0.8101265822784809,0.03125,0.0001412360169137,0.3350234419156208,1,0.0,,,0.0,,0,0.8101265822784809,0.0,0.0,0.1620253164556961,1,0.0,,,,0,0,,1,633062890,63306289,10,13.0,0.35944837188168505,1,1,0,0,0,0,0.0,20.26608032904364,0,0,2,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.001874007
Sea Princesses,104,Coproduction,2007.0,2010.0,2.0,Discovery Kids,Flash,2010.0,3.0,sea princesses,tt1291095,tvSeries,Sea Princesses,Sea Princesses,0.0,2008.0,,12.0,"Adventure,Animation,Comedy",5.6,148.0,1.0,0.5316455696202531,0.03125,0.0002017657384481,0.2236461692827133,0,0.0,,,0.0,,0,0.5316455696202531,0.0,0.0,0.1063291139240506,0,0.0,,,,0,0,,1,367987280,36798728,10,17.0,0.2943497827026741,1,0,1,1,0,0,0.0,19.723558933035907,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.07963926
The Oblongs,13,United States,2001.0,2002.0,2.0,Adult Swim,Traditional,2002.0,1.0,the oblongs,tt0219446,tvSeries,The Oblongs,The Oblongs...,0.0,2001.0,2002.0,284.0,"Animation,Comedy,Sci-Fi",7.1,10213.0,0.0,0.721518987341772,0.03125,0.014707281149027,0.3032219152239655,0,0.0,,,0.0,,0,0.721518987341772,0.0,0.0,0.1443037974683544,0,0.0,,,,0,0,,1,8235621,823562,10,23.0,0.40137020031337345,1,0,1,0,0,0,0.0,15.92397945001051,0,0,2,0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.13985556
The Owl House,40,United States,2020.0,,2.0,Disney Channel,Traditional,2023.0,3.0,the owl house,tt8050756,tvSeries,The Owl House,The Owl House,0.0,2020.0,2023.0,22.0,"Action,Adventure,Animation",8.6,25510.0,0.0,0.911392405063291,0.03125,0.036753070442184,0.3846827296358624,1,2.0,4.65,30.0,200.0,True,1,0.911392405063291,0.0041194644696189,0.0002596233730268,0.1846090923142053,1,198.964,8.7,1643.0,1 Seasons,1,1,owl,1,215474650,21547465,10,4.0,2.5367162526702867,1,0,0,1,1,1,198.964,19.18835383181897,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.97726125
The Pink Panther,60,United States,1993.0,1995.0,2.0,Syndication,Traditional,1995.0,2.0,the pink panther,tt0108895,tvSeries,The Pink Panther,The Pink Panther,0.0,1993.0,1996.0,30.0,"Adventure,Animation,Comedy",6.9,2050.0,0.0,0.6962025316455696,0.03125,0.0029428974136514,0.2901542370116406,0,0.0,,,0.0,,0,0.6962025316455696,0.0,0.0,0.1392405063291139,0,0.0,,,,0,0,,1,2463324778,246332477,10,31.0,0.24600266961523806,1,0,1,1,0,0,0.0,21.624777810566616,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.58944356
The Pirates of Dark Water,21,United States,1991.0,1993.0,2.0,"Syndication, ABC",Traditional,1993.0,2.0,the pirates of dark water,tt0101169,tvSeries,The Pirates of Dark Water,The Pirates of Dark Water,0.0,1991.0,1993.0,30.0,"Action,Adventure,Animation",8.2,3193.0,0.0,0.8607594936708859,0.03125,0.0045901705496963,0.3563888401057784,1,0.0,,,0.0,,0,0.8607594936708859,0.0,0.0,0.1721518987341772,1,0.0,,,,0,0,,1,3345258,334525,10,33.0,0.2445160402659078,1,0,0,1,1,0,0.0,15.0230546775455,0,0,5,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,0.4813425
Albie,26,United Kingdom,2001.0,2001.0,2.0,CITV,Traditional,2001.0,0.0,albie,tt6869042,tvSeries,Albie,Albie,0.0,2000.0,2004.0,10.0,Animation,6.8,28.0,1.0,0.6835443037974682,0.03125,2.882367692117013e-05,0.2843624274382176,0,0.0,,,0.0,,0,0.6835443037974682,0.0,0.0,0.1367088607594936,0,0.0,,,,0,0,,1,43527113,4352711,10,23.0,0.14640416652115104,1,0,0,0,0,0,0.0,17.588894612226532,0,0,1,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,0.00097178447
Alien TV,26,Coproduction,2020.0,2021.0,2.0,"Netflix, 9Go!",CGI/Live action,2021.0,1.0,alien tv,tt12765530,tvSeries,Alien TV,Alien TV,0.0,2019.0,2021.0,23.0,"Animation,Comedy,Family",6.5,435.0,1.0,0.6455696202531644,0.03125,0.0006153855022669,0.2693191944768325,0,1.0,4.8,0.0,100.0,False,1,0.6455696202531644,0.0020597322348094,0.0,0.1302467767797781,0,0.0,,,,0,1,,1,4082902638,408290263,10,4.0,1.5194105608372586,1,1,1,0,0,0,0.0,22.13007400354277,0,0,2,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,0.8598275
The Proud Family,53,United States,2001.0,2005.0,2.0,Disney Channel,Traditional,2005.0,4.0,the proud family,tt0293737,tvSeries,The Proud Family,The Proud Family,0.0,2001.0,2005.0,30.0,"Animation,Comedy,Family",6.6,9030.0,0.0,0.6582278481012657,0.03125,0.0130023606591398,0.2774792294052912,0,0.0,,,0.0,,0,0.6582278481012657,0.0,0.0,0.1316455696202531,0,0.0,,,,0,0,,1,104467197,10446719,10,23.0,0.3960181905326434,1,1,1,0,0,0,0.0,18.46438368535703,0,0,3,1,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.1135727
Bert and Ernie's Great Adventures,52,Coproduction,2007.0,2011.0,2.0,PBS Kids,Stop Motion,2011.0,4.0,bert and ernie's great adventures,tt7565504,tvSeries,Bert and Ernie's Great Adventures,Bert and Ernie's Great Adventures,0.0,2006.0,2013.0,5.0,Animation,8.3,59.0,1.0,0.8734177215189872,0.03125,7.350037614898383e-05,0.3603229637016321,1,0.0,,,0.0,,0,0.8734177215189872,0.0,0.0,0.1746835443037974,1,0.0,,,,0,0,,1,113881934,11388193,10,17.0,0.24084379777777062,1,0,0,0,0,0,0.0,18.550672811799828,0,0,5,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.012284952
My Big Big Friend,52,Coproduction,2010.0,2013.0,2.0,"Discovery Kids, Treehouse TV",Flash,2013.0,3.0,my big big friend,tt1413677,tvSeries,My Big Big Friend,Meu Amigãozão,0.0,2011.0,2014.0,11.0,"Adventure,Animation,Comedy",7.3,301.0,1.0,0.7468354430379746,0.03125,0.0004222668668951,0.3097772439319136,0,0.0,,,0.0,,0,0.7468354430379746,0.0,0.0,0.1493670886075949,0,0.0,,,,0,0,,1,826598426,82659842,10,14.0,0.407887644098205,1,0,1,1,0,0,0.0,20.532829557064048,0,0,4,1,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,0.011671357
Tigtone,20,United States,2019.0,2020.0,2.0,Adult Swim,Flash,2020.0,1.0,tigtone,tt8413062,tvSeries,Tigtone,Tigtone,0.0,2018.0,2020.0,23.0,"Action,Adventure,Animation",7.2,706.0,1.0,0.7341772151898733,0.03125,0.0010059463245488,0.3048598726570865,0,0.0,,,0.0,,0,0.7341772151898733,0.0,0.0,0.1468354430379746,0,0.0,,,,0,0,,1,1463773,146377,10,5.0,1.3122061331793147,1,0,0,1,1,0,0.0,14.196528590002176,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.00822623
Black Dynamite,20,United States,2012.0,2015.0,2.0,Adult Swim,Flash,2015.0,3.0,black dynamite,tt1608383,tvSeries,Black Dynamite,Black Dynamite,0.0,2011.0,2015.0,22.0,"Action,Adventure,Animation",8.1,5331.0,1.0,0.8481012658227846,0.03125,0.0076714216125694,0.3520958617322562,1,0.0,,,0.0,,0,0.8481012658227846,0.0,0.0,0.1696202531645569,1,64.982,7.5,53.0,1 Seasons,1,0,,1,37038003,3703800,10,12.0,0.71512347344155,1,0,0,1,1,1,64.982,17.427455078601273,0,0,2,1,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.12910776
Lalaloopsy,52,United States,2013.0,2014.0,2.0,"Nickelodeon, Nick Jr.",Flash,2014.0,1.0,lalaloopsy,tt2827502,tvSeries,Lalaloopsy,Lalaloopsy,0.0,2013.0,2015.0,23.0,"Adventure,Animation,Family",5.1,191.0,0.0,0.4683544303797468,0.03125,0.0002637366438287,0.1983452063128559,0,0.0,,,0.0,,0,0.4683544303797468,0.0,0.0,0.0936708860759493,0,0.0,,,,0,0,,1,85019239,8501923,10,11.0,0.4779541247297983,1,1,0,1,0,0,0.0,18.258388141781804,0,0,1,0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,0.00400809
Lascars,60,France,1998.0,2007.0,2.0,Canal +,Traditional,2007.0,9.0,lascars,tt0856138,tvSeries,Lascars,Lascars,0.0,1998.0,2007.0,1.0,"Animation,Comedy,Crime",7.4,284.0,0.0,0.7594936708860759,0.03125,0.0003977667415121,0.3148344100398084,0,0.0,,,0.0,,0,0.7594936708860759,0.0,0.0,0.1518987341772152,0,0.0,,,,0,0,,1,23076214,2307621,10,26.0,0.21740343001033272,1,0,1,0,0,0,0.0,16.95431299135486,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0017407574
Gawayn,104,France,2009.0,2012.0,2.0,"France 3, Clan",Flash,2012.0,3.0,gawayn,tt1674864,tvSeries,Gawayn,Gawayn,0.0,2009.0,,13.0,"Adventure,Animation,Comedy",6.5,144.0,0.0,0.6455696202531644,0.03125,0.0001960010030639,0.2692143483520318,0,0.0,,,0.0,,0,0.6455696202531644,0.0,0.0,0.1291139240506329,0,0.0,,,,0,0,,1,1483228,148322,10,15.0,0.331782249494705,1,0,1,1,0,0,0.0,14.209732025921893,0,0,1,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,0.0030381256
Girlstuff/Boystuff,58,Canada,2002.0,2005.0,2.0,YTV,Traditional,2005.0,3.0,girlstuff/boystuff,tt0364164,tvSeries,Girlstuff/Boystuff,Girlstuff/Boystuff,0.0,2002.0,2006.0,23.0,"Animation,Comedy,Family",5.7,130.0,0.0,0.5443037974683544,0.03125,0.0001758244292191,0.2287029750946465,0,0.0,,,0.0,,0,0.5443037974683544,0.0,0.0,0.1088607594936709,0,0.0,,,,0,0,,1,618126,61812,10,22.0,0.22159987832732506,1,1,1,0,0,0,0.0,13.334449216945385,0,0,1,0,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,0.0041611255
